id,ANO,MP,SOLUCAO,DESENVOLVEDOR,CATEGORIA,ABRANGENCIA,FUNCIONALIDADE,FINALIDADE,PERMISSIONAMENTO,FONTE,CONTATO,CONSUMO,LINK
1,2023,MPSP,CORTEX,MINISTERIO DA JUSTICA,GERAIS,NACIONAL,Dados de pessoas físicas e juridicas; trafego de veiculos; cercamento digital,Inteligência,Restrito,Conv. CNMP,agcortex.diopi@mj.gov.br,Consulta on line,https://cortex.mj.gov.br/
2,2023,MPSP,DGI LABCONTAS,TCU,GERAIS,NACIONAL,Dados de pessoas físicas e jurídicas,Inteligência,Restrito,Conv. CNMP,,Consulta on line,http://tcu.gov.br/dgi
3,2023,MPSP,INFOSEG,PRODESP,GERAIS,NACIONAL,Dados de pessoas físicas e jurídicas; CNH (fotos nao atuais),Investigação,Geral,Conv. Direto,,Consulta on line,https://seguranca.sinesp.gov.br/sinesp-seguranca/login.jsf?goto=INFOSEG
4,2023,MPSP,CRC JUD,ARPENBRASIL,GERAIS,NACIONAL,Dados de pessoas físicas,Investigação,Geral,Conv. Direto,,Consulta on line,https://sistema.registrocivil.org.br/portal/?CFID=645969&CFTOKEN=e6a2493dca004077-16A01887-B500-3285-BF5DA800F2C95922
5,2023,MPSP,BOA VISTA SPC,SPC,GERAIS,NACIONAL,Credito/debito de pessoas fisicas e juridicas,Investigação,Restrito,Contrato,,Consulta on line,https://hod.serpro.gov.br/a83016cv/
6,2023,MPSP,CAGED,MINISTERIO DA ECONOMIA,GERAIS,NACIONAL,"Registros trabalhistas atuais e historico, com datas de admissao e demissao; nivel de escolaridade",Investigação,Geral,Conv. Direto,,Consulta on line,https://geridmte.dataprev.gov.br/cas/login?service=https%3A%2F%2Fcaged.mte.gov.br%2Fcaged%2F
7,2023,MPSP,CNIS,INSS,GERAIS,NACIONAL,"Registros trabalhistas atuais e historico, com datas de admissao e demissao; nível escolaridade; valor dos salarios",Investigação,Restrito,Conv. Direto,,Consulta on line,https://geridinss.dataprev.gov.br/cas/login?service=https%3A%2F%2Fportalcnis.inss.gov.br%2F%3Bjsessionid%3DLfqzj8yhsZwLT583lSzjhdQ8jVyFgMJ6sFDYgPTVLyL2znbpm9yT%21-152969422
8,2023,MPSP,RAIS,SERPRO,GERAIS,NACIONAL,"Registros trabalhistas atuais e histórico (descricao generica), com datas de admissao e demissão; valor dos salarios (pesquisa pontual)",Investigação,Restrito,Contrato,,Consulta on line,https://hod.serpro.gov.br/a83016cv/
9,2023,MPSP,SERPRO,SERPRO,GERAIS,NACIONAL,Dados de pessoas fisicas e juridicas; historico de socios de pessoas juridicas; RAIS,Investigação,Geral,Contrato,,Consulta on line,https://hod.serpro.gov.br/a83016cv/
10,2023,MPSP,SEEU,CNJ,GERAIS,NACIONAL,Processos de execuçcao criminal de TJs e TRFs fora do TJSP; eventualmente FA de outros Estados,Investigação,Restrito,Conv. Direto,,Consulta on line,https://seeu.pje.jus.br/
11,2023,MPSP,SIGNO (CENSEC),COLEGIO NOTARIAL DO BRASIL,GERAIS,NACIONAL,Escrituras de compra e venda e procuracoes,Investigação,Geral,Conv. Direto,,Consulta on line,https://www.signo.org.br/#/
12,2023,MPSP,ADUNA,GSI/MPMG,GERAIS,NACIONAL,Dados de pessoas físicas e jurídicas,Investigação,Restrito,Conv. Direto,,Consulta on line,https://aduna.mpmg.mp.br/
13,2023,MPSP,MAPAS,Polícia Civil Scatarina,GERAIS,NACIONAL,Indicação visual e gráfica das ERBs viabilizando plotar no mapa e reproduzir como prova,Investigação,Geral,Outro,,Consulta on line,https://censec.org.br/; https://www.signo.org.br/#/
14,2023,MPSP,DETECTA,SSP-SP,GERAIS,ESTADUAL,Dados de pessoas físicas e jurídicas; BOs Estado de SP; trafego de veiculos,Investigação,Restrito,Conv. Direto,,Consulta on line,https://servicos.pc.sc.gov.br/antena
15,2023,MPSP,PLENUS,PRODESP,GERAIS,ESTADUAL,Dados de pessoas físicas e jurídicas,Investigação,Geral,Conv. Direto,,WS - Web Service,0
16,2023,MPSP,SIM DETRAN,DETRAN-SP,GERAIS,ESTADUAL,"Foto da CNH (SP); Infos da CNH; Linha de vida do condutor; Infos sobre veiculos SP (propriedade, ano, modelo, multas e gravames, endereço etc.)",Investigação,Restrito,Conv. Direto,,Consulta on line,prod-mpspbr.msappproxy.net/sim/
17,2023,MPSP,ARISP,Associacao dos Registradores de Imoveis SP,GERAIS,ESTADUAL,Matrículas de imoveis Estado SP e alguns outros Estados,Investigação,Geral,Conv. Direto,,Consulta on line,
18,2023,MPSP,CDT,Centro de Distribuição de Títulos e Documentos de São Paulo,GERAIS,ESTADUAL,"Registros e averbacoes dos Cartórios Extrajudiciais de Pessoa Jurídica (inclusas Associações Civis e Organizações Sociais), com estatutos e alterações",Investigação,Geral,Conv. Direto,,Consulta on line,https://cdtsp.com.br/faqpj
19,2023,MPSP,SIGAM,SIMA/SP - Secretária de Infraestrutura e Meio Ambiente,GERAIS,ESTADUAL,"Informações sobre propriedades rurais no estado de São Paulo: proprietarios, localizacao e CAR (Cadastro Ambiental Rural)",Investigação,Geral,Conv. Direto,,Consulta on line,https://sigam.ambiente.sp.gov.br/sigam3/
20,2023,MPSP,CADESP,SEFAZ/SP,GERAIS,ESTADUAL,"Dados cadastrais da pessoas jurídicas pagadores de ICMS do ESP, via SEFAZ e JUCESP; data de abertura da empresa, sócios e contador; endereço e contatos (tel. e e-mail); permite pesquisa por Contador e por Sócio",Investigação,Geral,Conv. Direto,,Consulta on line,https://www.cadesp.fazenda.sp.gov.br/(S(ay43ln55p00rw0ps5giifqyz))/Pages/Login.aspx
21,2023,MPSP,ESAJ,TJSP,GERAIS,ESTADUAL,Processos da justica estadual de Sao Paulo,Investigação,Geral,Outro,,Consulta on line,https://esaj.tjsp.jus.br/esaj/portal.do?servico=740000
22,2023,MPSP,SISMP e SIS-DIGITAL,MPSP,GERAIS,ESTADUAL,Procedimentos e acoes propostas pelo MPSP,Investigação,Geral,Dev. Interno,Laercio Carrasco Junior <laerciocarrasco@mpsp.mp.br>,WS - Web Service,;https://sismpconsultapublica.mpsp.mp.br/
23,2023,MPSP,HARPIA,MPSP,GERAIS,ESTADUAL,Banco de dados de faccionados do PCC,Inteligência,Restrito,Dev. Interno,Nabil Alameddine - nigc@mpsp.mp.br,Aplicacao especifica,https://apps.powerapps.com/play/e/default-2dbd8499-508d-4b76-a31d-ca39cb3d8f1d/a/7ea04485-4453-4d8f-a09e-6ca49cb15c2a?tenantId=2dbd8499-508d-4b76-a31d-ca39cb3d8f1d&source=portal
24,2023,MPSP,CONSULTE A HARPIA,MPSP,GERAIS,ESTADUAL,Consulta pontual ao banco de dados de faccionados do PCC; base de dados do PCC,Investigação,Geral,Dev. Interno,Nabil Alameddine - nigc@mpsp.mp.br,Aplicacao especifica,https://apps.powerapps.com/play/e/default-2dbd8499-508d-4b76-a31d-ca39cb3d8f1d/a/6f971f42-5e54-43fe-93ac-7453d2e68a3f?tenantId=2dbd8499-508d-4b76-a31d-ca39cb3d8f1d&source=portal
25,2023,MPSP,FOTOCRIM,PMSP,GERAIS,ESTADUAL,"Banco de dados, com imagens, de indivíduos abordados",Inteligência,Restrito,Conv. Direto,,Consulta on line,aplicação baixada na máquina
26,2023,MPSP,BEC/SP,SECRETARIA DE ORCAMENTO E GESTAO/SP,GERAIS,ESTADUAL,"Dados de licitacoes feitas pela Bolsa Eletronica de Compras do ESP (pregao eletronico): dados dos licitantes, precos dos produtos e, algumas vezes, das propostas",Investigação,Geral,Outro,,Consulta on line,https://www.bec.sp.gov.br/BECSP/Home/Home.aspx
27,2023,MPSP,SOLI,MPSP-TCESP,GERAIS,ESTADUAL,"Dados de licitacoes do ESP de 2017-2019: licitantes, vencedores etc. em BI",Investigação,Geral,Dev. Interno,Laercio Carrasco Junior <laerciocarrasco@mpsp.mp.br>,Aplicacao especifica,http://www.mpsp.mp.br/portal/page/portal/SOLI
28,2023,MPSP,AVICENA,NIGC/MPSP,GERAIS,ESTADUAL,"Dados de compras publicas do ESP feitas com dispensa licitacao para enfrentamento a COVID-19 em BI: empresas consultadas, contratadas e precos praticados por municipio",Investigação,Geral,Dev. Interno,Nabil Alameddine - nigc@mpsp.mp.br,Aplicacao especifica,https://app.powerbi.com/view?r=eyJrIjoiNzVhNTBkODUtZGM5Ny00ZDExLWExYmMtNTFlZjQ0Mzk0Y2YzIiwidCI6IjJkYmQ4NDk5LTUwOGQtNGI3Ni1hMzFkLWNhMzljYjNkOGYxZCJ9&embedImagePlaceholder=true
29,2023,MPSP,RADAR E ATOMO,TCMSP,GERAIS,ESTADUAL,"Dados de compras publicas, contratacoes e despesas do Munic. SP : empresas licitantes, contratadas e apenadas",Inteligência,Restrito,Conv. Direto,,Aplicacao especifica,aplicação baixada na máquina
30,2023,MPSP,VINEA,NIGC/MPSP,GERAIS,ESTADUAL,"Dados de BOs filtrados e processados, mostrando incidencia tipica, mapa de calor de ilicitos e perfil individual e social de infratores em BI",Politicas publicas,Restrito,Dev. Interno,Nabil Alameddine - nigc@mpsp.mp.br,Aplicacao especifica,https://apps.powerapps.com/play/e/default-2dbd8499-508d-4b76-a31d-ca39cb3d8f1d/a/3e6ca906-057b-4358-9a14-0d6df0443aad?tenantId=2dbd8499-508d-4b76-a31d-ca39cb3d8f1d&source=portal
31,2023,MPSP,PAGINA AMARELA,NIGC/MPSP,GERAIS,Não se aplica,Contatos de empresas e orgaos publicos utilizados em investigacao,Investigação,Geral,Dev. Interno,Nabil Alameddine - nigc@mpsp.mp.br,Aplicacao especifica,https://apps.powerapps.com/play/e/default-2dbd8499-508d-4b76-a31d-ca39cb3d8f1d/a/81fd0ede-e34d-4039-96f1-db08094714b7?tenantId=2dbd8499-508d-4b76-a31d-ca39cb3d8f1d&source=portal
